Direction and Energies,,,,,,,,,
X-axis ,,Y-axis,,inter-layer height ,,Energies (Hartree),,Relative energy (eV),
0.1,,3,,3.17,,-213.3003516,,0.006738903,
0.1,,3.1,,3.17,,-213.3000815,,0.014087342,
0.1,,3.2,,3.17,,-213.2996991,,0.02449407,
0.1,,3.3,,3.18,,-213.2992277,,0.037321524,
0.1,,3.4,,3.19,,-213.2986707,,0.052477185,
0.1,,3.5,,3.2,,-213.2980523,,0.069305259,
0.1,,3.6,,3.19,,-213.2974126,,0.086711031,
0.1,,3.7,,3.21,,-213.2967643,,0.10435327,
0.1,,3.8,,3.21,,-213.2961225,,0.121818907,
0.1,,3.9,,3.21,,-213.2954892,,0.13904971,
0.1,,4,,3.23,,-213.2949075,,0.154878581,
0.1,,4.1,,3.23,,-213.294378,,0.169288922,
0.1,,4.2,,3.23,,-213.2938954,,0.182420055,
0.1,,4.3,,3.23,,-213.2934673,,0.1940698,
0.1,,4.4,,3.23,,-213.2930959,,0.204176658,
0.1,,4.5,,3.23,,-213.2927779,,0.212828523,
0.1,,4.6,,3.23,,-213.2925039,,0.220284719,
0.1,,4.7,,3.23,,-213.2922588,,0.226955593,
0.1,,4.8,,3.23,,-213.2920234,,0.23335898,
0.1,,4.9,,3.24,,-213.2917905,,0.239698692,
0.1,,5,,3.24,,-213.2915154,,0.247182099,
0.1,,5.1,,3.25,,-213.291182,,0.256256285,
0.1,,5.2,,3.24,,-213.2908341,,0.265721226,
0.1,,5.3,,3.24,,-213.2904236,,0.276892322,
0.1,,5.4,,3.24,,-213.2899781,,0.289015273,
0.1,,5.5,,3.26,,-213.2895356,,0.301057406,
0.1,,5.6,,3.26,,-213.2891109,,0.312612727,
0.1,,5.7,,3.27,,-213.2887037,,0.323692937,
0.1,,5.8,,3.26,,-213.2883769,,0.332585622,
0.1,,5.9,,3.26,,-213.2881051,,0.339983585,
0.1,,6,,3.27,,-213.2879307,,0.344728437,
0.1,,6.1,,3.28,,-213.287821,,0.347711895,
0.1,,6.2,,3.27,,-213.2877982,,0.348333404,
0.1,,6.3,,3.28,,-213.2878369,,0.347281139,
0.1,,6.4,,3.28,,-213.2879343,,0.344630204,
0.1,,6.5,,3.27,,-213.2880855,,0.340516657,
0.1,,6.6,,3.27,,-213.2882646,,0.335642823,
0.1,,6.7,,3.27,,-213.2884644,,0.330204897,
0.1,,6.8,,3.27,,-213.2886737,,0.324509551,
0.1,,6.9,,3.27,,-213.288882,,0.318841144,
0.1,,7,,3.27,,-213.2890805,,0.313439681,
0.1,,7.1,,3.25,,-213.2892736,,0.308185432,
0.1,,7.2,,3.25,,-213.2894438,,0.303554052,
0.1,,7.3,,3.25,,-213.2895861,,0.299682414,
0.1,,7.4,,3.25,,-213.2897021,,0.296525891,
0.1,,7.5,,3.25,,-213.2897989,,0.293892372,
0.1,,7.6,,3.25,,-213.2898894,,0.291430284,
0.1,,7.7,,3.25,,-213.289992,,0.288637578,
0.1,,7.8,,3.25,,-213.2901289,,0.284911794,
0.1,,7.9,,3.25,,-213.2903236,,0.279615095,
0.1,,8,,3.25,,-213.2905971,,0.27217196,
0.2,,0,,3.62,,-213.2695636,,0.844522942,
0.2,,0.1,,3.62,,-213.2697132,,0.840452661,
0.2,,0.2,,3.61,,-213.2700953,,0.830055457,
0.2,,0.3,,3.6,,-213.2707104,,0.813316364,
0.2,,0.4,,3.59,,-213.2715479,,0.790526817,
0.2,,0.5,,3.57,,-213.2726247,,0.761226126,
0.2,,0.6,,3.55,,-213.2739442,,0.725319595,
0.2,,0.7,,3.52,,-213.2754955,,0.683108455,
0.2,,0.8,,3.49,,-213.2772783,,0.634594066,
0.2,,0.9,,3.46,,-213.2792676,,0.580462156,
0.2,,1,,3.43,,-213.281429,,0.52164798,
0.2,,1.1,,3.39,,-213.283707,,0.459661772,
0.2,,1.2,,3.36,,-213.2860446,,0.396050498,
0.2,,1.3,,3.34,,-213.2883276,,0.333928505,
0.2,,1.4,,3.3,,-213.2904856,,0.275206303,
0.2,,1.5,,3.28,,-213.2924342,,0.222181897,
0.2,,1.6,,3.26,,-213.2941068,,0.176667838,
0.2,,1.7,,3.24,,-213.295481,,0.13927502,
0.2,,1.8,,3.23,,-213.2966031,,0.108740836,
0.2,,1.9,,3.23,,-213.2974977,,0.084395885,
0.2,,2,,3.22,,-213.2981919,,0.065507636,
0.2,,2.1,,3.21,,-213.2987384,,0.050635789,
0.2,,2.2,,3.21,,-213.2991847,,0.038489709,
0.2,,2.3,,3.21,,-213.2995385,,0.02886422,
0.2,,2.4,,3.19,,-213.2998433,,0.02057073,
0.2,,2.5,,3.19,,-213.3000934,,0.013764615,
0.2,,2.6,,3.18,,-213.30027,,0.008959626,
0.2,,2.7,,3.19,,-213.3003684,,0.006280935,
0.2,,2.8,,3.18,,-213.3004067,,0.00523765,
0.2,,2.9,,3.18,,-213.3003286,,0.007365038,
0.2,,3,,3.17,,-213.3001509,,0.012198326,
0.2,,3.1,,3.17,,-213.2998542,,0.020272221,
0.2,,3.2,,3.18,,-213.2994511,,0.031241136,
0.2,,3.3,,3.18,,-213.2989531,,0.04479323,
0.2,,3.4,,3.19,,-213.2983749,,0.060527133,
0.2,,3.5,,3.2,,-213.2977346,,0.077950865,
0.2,,3.6,,3.2,,-213.2970746,,0.095909573,
0.2,,3.7,,3.21,,-213.2963928,,0.114462577,
0.2,,3.8,,3.21,,-213.2957184,,0.132813401,
0.2,,3.9,,3.23,,-213.2950597,,0.150738095,
0.2,,4,,3.23,,-213.294466,,0.166893503,
0.2,,4.1,,3.23,,-213.2939118,,0.181974605,
0.2,,4.2,,3.23,,-213.2934101,,0.19562602,
0.2,,4.3,,3.24,,-213.2929862,,0.207159844,
0.2,,4.4,,3.24,,-213.29262,,0.217126836,
0.2,,4.5,,3.25,,-213.2923051,,0.225694345,
0.2,,4.6,,3.25,,-213.292052,,0.232581278,
0.2,,4.7,,3.25,,-213.291835,,0.238486424,
0.2,,4.8,,3.24,,-213.2916496,,0.243531418,
0.2,,4.9,,3.24,,-213.2914551,,0.248823219,
0.2,,5,,3.25,,-213.2912254,,0.255075854,
0.2,,5.1,,3.25,,-213.2909794,,0.261768226,
0.2,,5.2,,3.24,,-213.2907069,,0.269182516,
0.2,,5.3,,3.24,,-213.2903758,,0.278194659,
0.2,,5.4,,3.24,,-213.2900101,,0.288145324,
0.2,,5.5,,3.24,,-213.2896253,,0.298615727,
0.2,,5.6,,3.26,,-213.2892633,,0.308464893,
